"LAT","LON","YEAR","MO","DY","WS50M","QV2M","ALLSKY_SFC_UV_INDEX","Date","predicted_power_usage","date"
-32.75,18.75,2020,1,5,4.18,9.95,2.91,2020-01-05,2.37429714720142,2020-01-05
-32.75,19.25,2020,1,5,5.11,8.63,3.22,2020-01-05,2.04654135790638,2020-01-05
-32.75,19.75,2020,1,5,5.05,7.51,3.22,2020-01-05,1.79660291499671,2020-01-05
-32.75,20.25,2020,1,5,4.97,6.89,3.4,2020-01-05,1.65979563234689,2020-01-05
-32.75,20.75,2020,1,5,5.08,6.89,3.4,2020-01-05,1.65614783494266,2020-01-05
-32.25,18.75,2020,1,5,4.56,9.74,2.91,2020-01-05,2.31445913702489,2020-01-05
-32.25,19.25,2020,1,5,5.39,8.51,3.22,2020-01-05,2.01026375357451,2020-01-05
-32.25,19.75,2020,1,5,5.49,7.35,3.22,2020-01-05,1.74602198958195,2020-01-05
-32.25,20.25,2020,1,5,5.56,6.47,3.4,2020-01-05,1.5457571170731,2020-01-05
-32.25,20.75,2020,1,5,5.66,6.16,3.4,2020-01-05,1.47271082450643,2020-01-05
-34.25,18.75,2020,1,6,4.6,9.64,2.65,2020-01-06,2.2906390803679,2020-01-06
-34.25,19.25,2020,1,6,3.85,9.28,2.27,2020-01-06,2.23453352076078,2020-01-06
-34.25,19.75,2020,1,6,3.63,9.3,2.27,2020-01-06,2.24632783254397,2020-01-06
-34.25,20.25,2020,1,6,3.59,9.66,1.98,2020-01-06,2.32863120987241,2020-01-06
-34.25,20.75,2020,1,6,3.56,10.2,1.98,2020-01-06,2.45109142202756,2020-01-06
-33.75,18.75,2020,1,6,4.7,9.25,2.32,2020-01-06,2.19959791990233,2020-01-06
-33.75,19.25,2020,1,6,3.47,8.81,2.33,2020-01-06,2.14141515379659,2020-01-06
-33.75,19.75,2020,1,6,3.4,8.94,2.33,2020-01-06,2.1729781397532,2020-01-06
-33.75,20.25,2020,1,6,3.58,9.27,2.23,2020-01-06,2.24123784681108,2020-01-06
-33.75,20.75,2020,1,6,3.6,9.61,2.23,2020-01-06,2.31705279948976,2020-01-06
-33.25,18.75,2020,1,6,4.44,9.16,2.32,2020-01-06,2.18797576010788,2020-01-06
-33.25,19.25,2020,1,6,3.37,8.64,2.33,2020-01-06,2.10649223896981,2020-01-06
-33.25,19.75,2020,1,6,3.44,8.61,2.33,2020-01-06,2.09742283788684,2020-01-06
-33.25,20.25,2020,1,6,3.84,8.72,2.23,2020-01-06,2.10890106341426,2020-01-06
-33.25,20.75,2020,1,6,4.03,8.9,2.23,2020-01-06,2.14308877521585,2020-01-06
-32.75,18.75,2020,1,6,4.17,9.19,2.31,2020-01-06,2.20367752010764,2020-01-06
-32.75,19.25,2020,1,6,3.57,8.67,2.49,2020-01-06,2.10660795551511,2020-01-06
-32.75,19.75,2020,1,6,3.39,8.29,2.49,2020-01-06,2.02710145602041,2020-01-06
-32.75,20.25,2020,1,6,3.75,8,2.53,2020-01-06,1.94993181383665,2020-01-06
-32.75,20.75,2020,1,6,4.28,7.95,2.53,2020-01-06,1.92110927027034,2020-01-06
-32.25,18.75,2020,1,6,3.98,9.4,2.31,2020-01-06,2.25721478931322,2020-01-06
-32.25,19.25,2020,1,6,3.46,8.84,2.49,2020-01-06,2.14849484720452,2020-01-06
-32.25,19.75,2020,1,6,3.19,8.07,2.49,2020-01-06,1.98424792821521,2020-01-06
-32.25,20.25,2020,1,6,3.52,7.39,2.53,2020-01-06,1.82034815886179,2020-01-06
-32.25,20.75,2020,1,6,4.28,7.12,2.53,2020-01-06,1.73441251581917,2020-01-06
-34.25,18.75,2020,1,7,4.89,11.44,2.98,2020-01-07,2.68590668766397,2020-01-07
-34.25,19.25,2020,1,7,4.6,10.27,2.44,2020-01-07,2.4323486650718,2020-01-07
-34.25,19.75,2020,1,7,5.24,10.09,2.44,2020-01-07,2.37063666376553,2020-01-07
-34.25,20.25,2020,1,7,6.26,10.75,1.73,2020-01-07,2.48526929345589,2020-01-07
-34.25,20.75,2020,1,7,7.11,11.8,1.73,2020-01-07,2.69326440923269,2020-01-07
-33.75,18.75,2020,1,7,4.16,9.8,2.78,2020-01-07,2.34122000578265,2020-01-07
